epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3303,3.42993,14.9234,4.31864,6e-05,0.03236,5e-05,1e-05,3.62663,4.46405,4.15867,8.574e-05,8.574e-05,8.574e-05
2,39.8958,3.42475,13.5937,4.313,6e-05,0.03236,5e-05,1e-05,3.62663,4.46384,4.15841,0.000185769,0.000185769,0.000185769
3,56.4522,3.40986,8.05954,4.20564,6e-05,0.03236,4e-05,1e-05,3.62314,4.46573,4.15733,0.000285796,0.000285796,0.000285796
4,73.0442,3.39674,6.38621,4.1327,7e-05,0.03883,6e-05,1e-05,3.61573,4.46673,4.15583,0.000385817,0.000385817,0.000385817
5,89.6188,3.22143,6.38247,3.99273,7e-05,0.03883,5e-05,1e-05,3.60626,4.47085,4.15349,0.00048583,0.00048583,0.00048583
6,105.678,2.95344,6.262,3.74188,0.0001,0.01553,5e-05,1e-05,3.59475,4.48402,4.15496,0.000585834,0.000585834,0.000585834
7,120.917,2.66736,6.06192,3.45143,0.00016,0.03994,9e-05,2e-05,3.59795,4.50409,4.18162,0.000685826,0.000685826,0.000685826
8,135.71,2.51723,5.88185,3.27971,0.00016,0.0384,9e-05,2e-05,3.61945,4.53292,4.23464,0.000785803,0.000785803,0.000785803
9,150.448,2.40977,5.56814,3.0896,7e-05,0.01229,3e-05,1e-05,3.63667,4.56765,4.27519,0.000885764,0.000885764,0.000885764
10,165.2,2.33803,5.32917,2.98278,7e-05,0.01229,4e-05,1e-05,3.63235,4.6061,4.26745,0.000985705,0.000985705,0.000985705
11,179.957,2.27603,5.01678,2.89433,7e-05,0.01229,4e-05,1e-05,3.68062,4.65276,4.31108,0.00108563,0.00108563,0.00108563
12,194.708,2.21205,4.81727,2.8182,7e-05,0.01075,4e-05,1e-05,3.65751,4.68531,4.27475,0.00118552,0.00118552,0.00118552
13,209.421,2.19402,4.60024,2.7726,0.00011,0.02458,6e-05,1e-05,3.60645,4.4104,4.25227,0.00128539,0.00128539,0.00128539
14,224.159,2.18654,4.45816,2.74491,0.00018,0.04608,0.00011,2e-05,3.69342,4.21512,4.33132,0.00138524,0.00138524,0.00138524
15,238.906,2.09473,4.14824,2.64076,0.00016,0.04147,0.00011,2e-05,3.6832,4.236,4.31381,0.00142793,0.00142793,0.00142793
16,253.659,2.02129,3.88925,2.55362,0.00283,0.08137,0.00218,0.00061,3.52761,4.26766,4.11994,0.00142777,0.00142777,0.00142777
17,268.388,1.99652,3.80693,2.54344,0.34076,0.01997,0.01105,0.00377,2.9233,4.09981,3.57501,0.0014276,0.0014276,0.0014276
18,283.006,1.93888,3.47387,2.45931,0.15498,0.10897,0.06272,0.02394,2.42733,3.82478,3.14023,0.00142742,0.00142742,0.00142742
19,297.666,1.87957,3.32535,2.39173,0.01752,0.4675,0.03612,0.0125,2.20578,4.41448,2.89072,0.00142723,0.00142723,0.00142723
20,312.346,1.8534,3.21056,2.36424,0.18487,0.2217,0.11194,0.04142,2.06336,3.21275,2.64483,0.00142703,0.00142703,0.00142703
21,326.979,1.82865,3.06623,2.3172,0.25972,0.40185,0.2229,0.0962,1.87958,2.75071,2.43205,0.00142682,0.00142682,0.00142682
22,341.574,1.76531,2.90574,2.25838,0.26042,0.27341,0.16029,0.0651,1.96442,3.24045,2.60179,0.0014266,0.0014266,0.0014266
23,356.152,1.80095,2.83799,2.28155,0.19395,0.22631,0.1106,0.0415,1.99953,3.40275,2.63065,0.00142636,0.00142636,0.00142636
